
**************************
入力ファイル名: the_constitution_of_the_usa.txt

*** 単語の出現頻度 ***
  36 vice
   2 vii
   1 viii
   1 violated
   1 violation
   1 violence
   3 virginia
   1 void
  16 vote
   6 voted
  14 votes
   1 voting
   6 war
   1 warrants
   3 was
   1 washington
   1 water
   1 way
   2 we
   1 weights
   2 welfare
   2 well
   1 were
   2 what
   2 whatever
   1 whatsoever
  16 when
   7 whenever
   2 where
   3 wherein
   3 whereof
  43 which
  16 who
  10 whole
   5 whom
   1 whose
   1 wil
   3 will
   1 william
   1 williamson
   1 wilson
  17 with
  20 within
  13 without
   2 witness
   3 witnesses
   3 wm
   1 work
   2 would
   1 writ
   1 writing
   1 writings
   2 writs
   6 written
   1 x
   1 xi
   1 xii
   1 xiii
   1 xiv
   1 xix
   1 xv
   1 xvi
   1 xvii
   1 xviii
   1 xx
   1 xxi
   1 xxii
   1 xxiii
   1 xxiv
   1 xxv
   1 xxvi
   1 xxvii
  11 year
  22 years
   2 yeas
   2 york

1168種類の単語を登録

単語, または00を入力して下さい（00なら終了します）:  america
americaの出現頻度: 4

単語, または00を入力して下さい（00なら終了します）:  year
yearの出現頻度: 11

単語, または00を入力して下さい（00なら終了します）:  canada
canadaは登録されていません!

単語, または00を入力して下さい（00なら終了します）:  00
終了します．
